35005,1116 HAYES RD,"1116 HAYES RD, ADAMSVILLE, AL 35005"
35005,1117 UNION GROVE ROAD,"1117 UNION GROVE ROAD, ADAMSVILLE, AL 35005"
35005,202 FOREST LANE DR,"202 FOREST LANE DR, ADAMSVILLE, AL 35005"
35005,2527 OAK LEAF LANE,"2527 OAK LEAF LANE, ADAMSVILLE, AL 35005"
35005,2716 MARGARET LN,"2716 MARGARET LN, ADAMSVILLE, AL 35005"
35005,2749 WOODRUFF MILL RD,"2749 WOODRUFF MILL RD, ADAMSVILLE, AL 35005"
35005,2808 CEDAR LANE,"2808 CEDAR LANE, ADAMSVILLE, AL 35005"
35005,2907 CEDAR LANE,"2907 CEDAR LANE, ADAMSVILLE, AL 35005"
35005,2928 FORESTDALE BOULEVARD,"2928 FORESTDALE BOULEVARD, ADAMSVILLE, AL 35005"
35005,3004 FORESTDALE BOULEVARD,"3004 FORESTDALE BOULEVARD, ADAMSVILLE, AL 35005"
35005,3007 TALL TREE LN,"3007 TALL TREE LN, ADAMSVILLE, AL 35005"
35005,4110 ABBEY RD,"4110 ABBEY RD, ADAMSVILLE, AL 35005"
35005,4121 HARRIS AVE,"4121 HARRIS AVE, ADAMSVILLE, AL 35005"
35005,4148 OLD JASPER HIGHWAY,"4148 OLD JASPER HIGHWAY, ADAMSVILLE, AL 35005"
35005,4508 MAPLE CIRCLE,"4508 MAPLE CIRCLE, ADAMSVILLE, AL 35005"
